iter	Passed	Remaining
408	4349	6285
409	4359	6274
410	4369	6262
411	4379	6250
412	4389	6239
413	4400	6228
414	4410	6216
415	4419	6204
416	4429	6192
417	4439	6181
418	4449	6169
419	4459	6157
420	4468	6145
421	4478	6134
422	4488	6122
423	4497	6110
424	4508	6099
425	4517	6087
426	4527	6075
427	4538	6064
428	4549	6054
429	4558	6042
430	4568	6031
431	4578	6020
432	4589	6009
433	4599	5998
434	4609	5987
435	4619	5975
436	4629	5964
437	4639	5952
438	4649	5941
439	4659	5930
440	4669	5918
441	4679	5907
442	4689	5896
443	4699	5885
444	4710	5874
445	4720	5863
446	4730	5852
447	4740	5841
448	4750	5829
449	4760	5817
450	4769	5805
451	4779	5794
452	4790	5784
453	4801	5774
454	4811	5763
455	4822	5752
456	4831	5741
457	4842	5730
458	4852	5718
459	4861	5707
460	4872	5696
461	4882	5685
462	4892	5675
463	4903	5664
464	4913	5653
465	4924	5642
466	4934	5631
467	4944	5620
468	4953	5608
469	4964	5598
470	4975	5588
471	4986	5577
472	4997	5567
473	5007	5556
474	5017	5545
475	5026	5533
476	5036	5522
477	5047	5511
478	5056	5500
479	5066	5489
480	5076	5477
481	5086	5466
482	5096	5455
483	5108	5445
484	5118	5434
485	5128	5423
486	5138	5412
487	5148	5401
488	5159	5391
489	5169	5380
490	5179	5369
491	5189	5358
492	5199	5347
493	5210	5336
494	5220	5325
495	5230	5314
496	5239	5303
497	5249	5291
498	5259	5280
499	5270	5270
500	5279	5258
501	5291	5248
502	5302	5238
503	5312	5228
504	5322	5217
505	5332	5205
506	5342	5194
507	5351	5183
508	5361	5172
509	5372	5161
510	5382	5150
511	5392	5139
512	5401	5128
513	5411	5117
514	5422	5106
515	5432	5095
516	5441	5083
517	5450	5072
518	5461	5061
519	5471	5050
520	5481	5039
521	5491	5028
522	5501	5017
523	5511	5006
524	5521	4995
525	5531	4984
526	5542	4974
527	5552	4963
528	5562	4952
529	5571	4941
530	5581	4929
531	5591	4919
532	5602	4908
533	5612	4897
534	5621	4886
535	5631	4875
536	5641	4864
537	5652	4853
538	5662	4842
539	5672	4831
540	5682	4821
541	5692	4810
542	5702	4799
543	5712	4788
544	5722	4777
545	5732	4766
546	5742	4755
547	5751	4744
548	5761	4733
549	5771	4721
550	5781	4711
551	5791	4700
552	5801	4689
553	5811	4678
554	5822	4668
555	5832	4657
556	5842	4646
557	5852	4635
558	5862	4624
559	5871	4613
560	5881	4602
561	5892	4592
562	5902	4581
563	5913	4571
564	5923	4560
565	5933	4549
566	5944	4539
567	5955	4529
568	5967	4520
569	5977	4509
570	5987	4498
571	5997	4487
572	6008	4477
573	6017	4466
574	6027	4455
575	6037	4443
576	6047	4433
577	6058	4423
578	6068	4412
579	6078	4402
580	6089	4391
581	6099	4380
582	6110	4370
583	6120	4359
584	6130	4348
585	6139	4337
586	6149	4326
587	6159	4315
588	6169	4304
589	6180	4294
590	6190	4284
591	6199	4272
592	6209	4261
593	6218	4250
594	6228	4239
595	6238	4228
596	6247	4217
597	6257	4206
598	6267	4195
599	6278	4185
600	6288	4174
601	6297	4163
602	6308	4153
603	6318	4142
604	6327	4131
605	6337	4120
606	6348	4109
607	6357	4098
608	6366	4087
609	6376	4076
610	6385	4065
611	6395	4054
612	6405	4044
613	6416	4033
614	6427	4023
615	6440	4015
616	6450	4004
617	6460	3993
618	6470	3982
619	6480	3971
620	6490	3960
621	6500	3950
622	6510	3939
623	6520	3929
624	6531	3918
625	6541	3908
626	6551	3897
627	6561	3886
628	6572	3876
629	6582	3865
630	6592	3855
631	6602	3844
632	6612	3833
633	6622	3823
634	6632	3812
635	6642	3801
636	6653	3791
637	6663	3780
638	6672	3769
639	6682	3758
640	6692	3748
641	6703	3737
642	6713	3727
643	6724	3717
644	6734	3706
645	6744	3695
646	6754	3685
647	6764	3674
648	6774	3664
649	6784	3653
650	6794	3642
651	6805	3632
652	6815	3621
653	6826	3611
654	6836	3600
655	6847	3590
656	6856	3579
657	6866	3569
658	6877	3558
659	6886	3547
660	6897	3537
661	6906	3526
662	6918	3516
663	6928	3506
664	6939	3495
665	6949	3485
666	6959	3474
667	6969	3463
668	6979	3453
